Invoice_Number,Invoice_Date,Meter_Hours,Unit,Missing,Description
36600,2/11/2022,Missing,B14,1,Labor Special  Rate Total Trans:  No Start.  Check 2.5 112.50 281.25solenoid 0 ok.  Check tank - full.  Check for spark ok. Check fuel solenoid.  Found no fuel pressure.  Founddouble o rings causing no pressure.Warranty Labor on Rentals -2.5 112.50 -281.25
36692,1/31/2022,25350,B19,0,Labor Special  Rate Total Trans:  Replaced spring on 4 112.50 450.00pedalWarranty Labor on Rentals -4 112.50 -450.00Spring 1 102.77 102.77TWarranty on Rental -1 102.77 -102.77TThank You for using Gold Service for all your material handling needs. Subtotal $0.00 Sales Tax (7.75%) $0.00
36694,2/3/2022,25364,B19,0,"Labor Special  Rate Total Trans:  Remove and 4.5 112.50 506.25replace caster wheel, bearings, spacers, and shaft.Caster wheel 632-078/107 1 173.17 173.17TBearing, caster wheel 441-128 2 18.75 37.50TCaster Shaft 1 70.85 70.85TSpacer caster 001 2 7.99 15.98TSpacer Caster 002 2 4.20 8.40TSpacer Caster 003 2 10.75 21.50T"
36718,5/3/2022,Missing,B19,1,"Labor Special  Rate Total Trans:  Rotate motor failed.  10 112.50 1,125.00Removed bad motor.  Removed good from S4. Installed on S7.  Tested.  Cleaned.  Learned.  Unitreturned to service. "
33715,2/2/2022,9074,B26,0,"Forklift Rental:  Raymond Turret Forklift Model 1 1,975.00 1,975.00T970-CSR30T.  Serial # 97011-01561 Unit #TR103. Monthl rental 5/28/2021 - 6/27/22Special Total Discount -197.50 -197.50"
55006,3/18/2022,9270,B26,0,Perform scheduled maintenance on swing reach 1 145.00 145.00truck: Remove covers and blow off with compressedair. Checked all fluids and grease all fittings. Wipeddown unit.
55003,3/18/2022,8669,B27,0,Total Transp. Travel Charge Special Price: 2 105.00 210.00Perform scheduled maintenance on swing reach 1 145.00 145.00truck: Remove covers and blow off with compressedair. Checked all fluids and grease all fittings. Wipeddown unit.Grease Tube 1 12.47 12.47T
36688,1/26/2022,14954,B28,0,Labor Special  Rate Total Trans:  Arrived both 5.5 112.50 618.75compressor down.  Fuses blown again.  Talked withcustomer then shut down compressor that was justrepaired and plugged old one.  Thought it was hot butthe temp increase is normal when running.  Testedfuses blown again.  Replace with customer stock andnew compressor running again.  Locked out oldercompressor due to motor being shorted.  Julio toorder new.
55888,3/23/2022,15333,B28,0,Perform scheduled maintenance on swing reach 1 145.00 145.00truck: Remove covers and blow off with compressedair. Checked all fluids and grease all fittings. Wipeddown unit.Warranty Labor on Rentals -1 145.00 -145.00
55011,3/23/2022,3790,B29,0,Perform scheduled maintenance on propane truck: 1 113.00 113.00Blow off unit with compressed air. Change oil andfilter. Check all fluids and grease all fittings. Wipeddown unit and check all safety items.Scheduled Maintenance Additional Labor: Change 1 112.50 112.50transmission oil and filter10W30 Motor Oil 5qt 1 35.40 35.40TATF Transmission Fluid Gal 1.5 39.13 58.70TAir Filter Toyota TY17741-U2100-71 1 66.19 66.19TCustomer Part -  oil filter 1 0.00 0.00TCustomer Part -  trans oil filter 1 0.00 0.00T
